"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"199506",2.72,-0.48,0.0277908493858348,0.0112108781161906,-0.442338821088254,0.444789316734484
"199507",3.72,0.45,0.0891168277097428,0.263502735553498,-0.220784781692649,0.440820312092116
"199508",0.55,-1.36,0.0120854813510151,-0.0759621817669379,-0.182991179300849,0.43923222705009
"199509",3.35,1.33,-0.0647207598610938,-0.147856246241798,-0.157153431578068,0.429697911893889
"199510",-1.52,2.14,-0.0937615959545526,0.0480540128735653,-0.130095399100292,0.429697911893889
"199511",3.96,-0.82,-0.101726124978262,-0.044917105148607,0.326683247532584,0.436055228096288
"199512",1.03,-1.33,0.190010687246767,0.00125790609848611,0.160268085347275,0.418561945532825
"199601",2.26,-0.64,-0.0574642555781707,-0.0348511658643322,-0.0593337650324246,0.407412378364835
"199602",1.33,0.4,0.0193527200679711,-0.135201451909865,-0.238252798129528,0.393855283367484
"199603",0.73,1.3,0.0643689611903587,-0.164961201168716,-0.261691684593263,0.404224284774379
"199604",2.06,0.18,0.0253026548625655,-0.101660691823958,-0.278926438654428,0.403427087358321
"199605",2.36,0.43,-0.0897452049953864,-0.0711164603780836,-0.0862475873938391,0.409006007693691
"199606",-1.14,3.46,0.00947358077664338,0.123687925413711,0.14501998015845,0.414581520378898
"199607",-5.97,2.83,-0.0650120044906458,-0.270019487828543,0.565241826947561,0.419357822337552
"199608",2.77,-0.3,-0.0349207425641351,-0.0118722864638885,0.0194029077913849,0.411395930139702
"199609",5.01,1.51,-0.056675345810556,0.0238421797188855,-0.120523906661801,0.414581520378898
"199610",0.86,1.32,-0.0643393030996226,-0.250739119377382,0.224489884394568,0.406615459352855
"199611",6.25,2,-0.178489116503381,-0.331602269032323,0.0196966752959895,0.40980271803599
"199612",-1.7,0.54,0.0228958056620519,0.0620325723841352,0.388051599795512,0.400237601238951
"199701",4.98,1.31,0.0764324672150657,-0.277088583150126,0.0436193750663744,0.40980271803599
"199702",-0.49,0.68,0.0511636356437029,0.112202441194569,-0.0511809039011792,0.408209227807532
"199703",-5.02,0.36,0.0505727379312791,0.172532578272529,0.468620923372779,0.418561945532825
"199704",4.04,3.25,-0.150220258698953,-0.0163349788447483,0.648441024660379,0.420153629763109
"199705",6.74,-0.96,-0.0329525881301739,0.0100565844788177,0.170987719343134,0.411395930139702
"199706",4.1,1.01,0.0247573622596628,0.199917398670576,0.0211414796674578,0.401832483615117
"199707",7.33,-0.24,-0.0981888407753524,-0.0182953400946018,-0.0309171032033231,0.411395930139702
"199708",-4.15,-0.93,0.0422004074851513,0.166719771439222,-0.107443816977543,0.418561945532825
"199709",5.35,-1.39,0.0274617937743936,-0.0769418626971467,0.0938057766901465,0.403427087358321
"199710",-3.8,1.09,0.144351576147418,0.188138836197859,-0.0636189987195405,0.405021412570328
"199711",2.98,3.07,-0.0777319799080083,-0.149087200101887,-0.136992621011767,0.418561945532825
"199712",1.32,1.19,-0.191721906357751,-0.0188576721204654,0.26418948644533,0.420153629763109
"199801",0.15,0.46,0.038449112915965,-0.0562824441108586,-0.318738536393901,0.410599358847086
"199802",7.04,-0.86,-0.132639310160013,-0.0156813456422892,-0.164416645121446,0.414581520378898
"199803",4.76,-1.02,-0.0135934070458127,-0.118839136648768,0.0165553614054968,0.40980271803599
"199804",0.73,-2.13,0.0101770849319655,0.013090151705861,-0.0672019371220151,0.403427087358321
"199805",-3.07,0.96,-0.0198666994090206,-0.0120332820611668,0.143202325407897,0.407412378364835
